Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,topics
Covid19,covid-19,confinement,vaccin,mesure,virus,sanitaire,gouvernement,coronavirus,test,risque,marché,population,vaccination,pandémie,commerce,vacciner,épidémie,santé,propagation,pays,covid 19 confinement vaccin mesure virus sanitaire gouvernement coronavirus test risque marché population vaccination pandémie commerce vacciner épidémie santé propagation pays
Justice Economique,entreprise,salarié,travail,social,emploi,poste,prime,salaire,payer,professionnel,travailler,métier,retraite,contrat,direction,secteur,état,crise,financier,revenu,entreprise salarié travail social emploi poste prime salaire payer professionnel travailler métier retraite contrat direction secteur état crise financier revenu
Sport,club,sport,sportif,salle,joueur,football,terrain,association,pratiquer,équipe,saison,stade,adhérent,match,compétition,entraînement,jouer,ligue,piscine,amateur,club sport sportif salle joueur football terrain association pratiquer équipe saison stade adhérent match compétition entraînement jouer ligue piscine amateur
Protection Animale,chat,association,stérilisation,animal,refuge,vétérinaire,protection_animal,nourrir,mairie,campagne,abandonner,bénévole,spa,sauver,maltraitance,identifier,propriétaire,plainte,acte,libre,chat association stérilisation animal refuge vétérinaire protection_animal nourrir mairie campagne abandonner bénévole spa sauver maltraitance identifier propriétaire plainte acte libre
Vie Locale,ville,place,lieu,mairie,logement,construction,local,immeuble,maison,construire,commerce,bâtiment,patrimoine,marché,association,municipal,culturel,centre,terrain,citoyen,ville place lieu mairie logement construction local immeuble maison construire commerce bâtiment patrimoine marché association municipal culturel centre terrain citoyen
Santé - Précaution Ondes,antenne,antenne_relai,implantation,onde,habitation,opérateur,santé,village,proximité,orange,électromagnétique,free,riverain,mairie,précaution,risque,étude,réseau,paysage,impact,antenne antenne_relai implantation onde habitation opérateur santé village proximité orange électromagnétique free riverain mairie précaution risque étude réseau paysage impact
Politique,peuple,citoyen,pays,politique,droit,loi,gouvernement,liberté,état,macron,international,élection,constitution,démocratie,national,monde,député,république,vote,président_république,peuple citoyen pays politique droit loi gouvernement liberté état macron international élection constitution démocratie national monde député république vote président_république
Environnement,eau,éolien,environnement,déchet,terre,pollution,naturel,agricole,industriel,écologique,usine,village,forêt,biodiversité,impact,plastique,nature,environnemental,sol,paysage,eau éolien environnement déchet terre pollution naturel agricole industriel écologique usine village forêt biodiversité impact plastique nature environnemental sol paysage
Education,collège,élève,poste,professeur,scolaire,parent_élève,établissement,rentrée,enseignement,enseignant,remplacement,rectorat,fcpe,éducation,collégien,parent,dotation,rep,effectif,absence,collège élève poste professeur scolaire parent_élève établissement rentrée enseignement enseignant remplacement rectorat fcpe éducation collégien parent dotation rep effectif absence
Environnement,arbre,abattage,forêt,abattre,sauver,centenaire,biodiversité,bois,protéger,préserver,nature,patrimoine,jardin,oiseau,coupe,environnement,destruction,réchauffement_climatique,construction,espace_vert,arbre abattage forêt abattre sauver centenaire biodiversité bois protéger préserver nature patrimoine jardin oiseau coupe environnement destruction réchauffement_climatique construction espace_vert
Covid19,masque,port_masque,protéger,obligatoire,protection,virus,gratuit,mesure,santé,soignant,respirer,obligation,gratuité,port,gel,distribution,contamination,tissu,risque,extérieur,masque port_masque protéger obligatoire protection virus gratuit mesure santé soignant respirer obligation gratuité port gel distribution contamination tissu risque extérieur
Mobilité,ligne,bus,train,gare,transport,usager,sncf,région,trajet,réseau,ferroviaire,desservir,transport_commun,service_public,voyageur,mobilité,scolaire,métropole,métro,voiture,ligne bus train gare transport usager sncf région trajet réseau ferroviaire desservir transport_commun service_public voyageur mobilité scolaire métropole métro voiture
Environnement,parc,éolien,canin,espace_vert,jeu,jardin,terrain,naturel,paysage,public,lieu,accès,nature,construction,résident,courir,implantation,jouer,préserver,national,parc éolien canin espace_vert jeu jardin terrain naturel paysage public lieu accès nature construction résident courir implantation jouer préserver national
Protection Animale,chasse,chasseur,tuer,forêt,nature,interdire,espèce,chasser,tir,faune,oiseau,sauvage,arme,accident,interdiction,massacre,préfet,loisir,animal,population,chasse chasseur tuer forêt nature interdire espèce chasser tir faune oiseau sauvage arme accident interdiction massacre préfet loisir animal population
